Team,Gm#,Date,,Tm, ,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
LAD,92,"Tuesday, Jul 9",boxscore,LAD,@,PHI,L,1,10,,55-37,1,up 7.5,Wheeler,Miller,,2:49,N,"43,065",1.18,--,
LAD,93,"Wednesday, Jul 10",boxscore,LAD,@,PHI,L,3,4,,55-38,1,up 7.5,SÃ¡nchez,Stone,Hoffman,2:30,N,"42,912",1.23,---,
LAD,94,"Thursday, Jul 11",boxscore,LAD,@,PHI,L,1,5,,55-39,1,up 7.0,Nola,Banda,,2:43,N,"44,020",1.23,----,
LAD,95,"Friday, Jul 12",boxscore,LAD,@,DET,W,4,3,,56-39,1,up 8.0,Petersen,Foley,Hudson,2:58,N,"42,060",1.19,+,
LAD,96,"Saturday, Jul 13",boxscore,LAD,@,DET,L-wo,9,11,10,56-40,1,up 7.0,Vest,RamÃ­rez,,3:11,D,"40,196",1.19,-,
LAD,97,"Sunday, Jul 14",boxscore,LAD,@,DET,L-wo,3,4,,56-41,1,up 7.0,Faedo,RamÃ­rez,,2:52,D,"35,159",1.26,--,
LAD,98,"Friday, Jul 19",boxscore,LAD,,BOS,W,4,1,,57-41,1,up 7.0,Yarbrough,Bernardino,Hudson,2:36,N,"51,562",1.28,+,
LAD,99,"Saturday, Jul 20",boxscore,LAD,,BOS,W-wo,7,6,11,58-41,1,up 7.0,Treinen,Weissert,,3:30,D,"48,129",1.25,++,
LAD,100,"Sunday, Jul 21",boxscore,LAD,,BOS,W,9,6,,59-41,1,up 8.0,Paxton,Crawford,Hudson,2:42,D,"50,824",1.19,+++,
LAD,101,"Monday, Jul 22",boxscore,LAD,,SFG,W,3,2,,60-41,1,up 8.5,Treinen,Miller,Hudson,2:26,N,"49,576",1.16,++++,
LAD,102,"Tuesday, Jul 23",boxscore,LAD,,SFG,W,5,2,,61-41,1,up 8.5,Knack,Hicks,Phillips,2:55,N,"52,627",1.13,+++++,
LAD,103,"Wednesday, Jul 24",boxscore,LAD,,SFG,L,3,8,,61-42,1,up 7.5,Ray,Glasnow,,2:51,N,"54,070",1.09,-,
LAD,104,"Thursday, Jul 25",boxscore,LAD,,SFG,W,6,4,,62-42,1,up 7.5,Treinen,Rogers,Honeywell,2:38,D,"52,291",1.19,+,
LAD,105,"Friday, Jul 26",boxscore,LAD,@,HOU,L,0,5,,62-43,1,up 6.5,Valdez,Stone,,2:38,N,"41,452",1.07,-,
